district_id,percent_economically_disadvantaged,subject,avg_scaled_score1,avg_scaled_score
4450000,48.6,ELA,492,495.0623
4450000,48.6,MATH,480,495.0623
4450000,48.6,SCI,489,495.0623
10000,30.1,MATH,490,495.0623
4120000,48.7,ELA,483,495.0623
4120000,48.7,MATH,477,495.0623
4120000,48.7,SCI,478,495.0623
30000,27.7,SCI,494,495.0623
50000,34.7,MATH,491,495.0623
4090000,66.6,ELA,494,495.0623
4090000,66.6,MATH,483,495.0623
4090000,66.6,SCI,482,495.0623
70000,29.8,MATH,489,495.0623
80000,35.2,MATH,492,495.0623
35090000,67.7,ELA,481,495.0623
35090000,67.7,MATH,479,495.0623
35090000,67.7,SCI,481,495.0623
6100000,20.6,MATH,492,495.0623
6150000,57.4,ELA,488,495.0623
6150000,57.4,MATH,483,495.0623
6150000,57.4,SCI,490,495.0623
4910000,51.9,ELA,493,495.0623
4910000,51.9,MATH,485,495.0623
4910000,51.9,SCI,488,495.0623
160000,34.8,MATH,490,495.0623
160000,34.8,SCI,494,495.0623
170000,23.4,MATH,495,495.0623
180000,37.4,MATH,485,495.0623
180000,37.4,SCI,491,495.0623
6160000,27.9,MATH,489,495.0623
200000,43.7,ELA,493,495.0623
200000,43.7,MATH,484,495.0623
200000,43.7,SCI,490,495.0623
35020000,76.8,ELA,479,495.0623
35020000,76.8,MATH,473,495.0623
35020000,76.8,SCI,477,495.0623
240000,21.6,MATH,490,495.0623
250000,25.1,ELA,495,495.0623
250000,25.1,MATH,489,495.0623
270000,22.4,MATH,495,495.0623
4140000,51.9,ELA,495,495.0623
4140000,51.9,MATH,487,495.0623
6180000,34.8,MATH,487,495.0623
6180000,34.8,SCI,491,495.0623
300000,29.4,MATH,492,495.0623
300000,29.4,SCI,494,495.0623
310000,22,MATH,491,495.0623
310000,22,SCI,495,495.0623
6220000,29.1,MATH,490,495.0623
6220000,29.1,SCI,492,495.0623
350000,64.3,ELA,487,495.0623
350000,64.3,MATH,479,495.0623
350000,64.3,SCI,480,495.0623
4490000,38.7,ELA,492,495.0623
4490000,38.7,MATH,489,495.0623
4490000,38.7,SCI,490,495.0623
4110000,72.3,ELA,478,495.0623
4110000,72.3,MATH,475,495.0623
4110000,72.3,SCI,476,495.0623
4160000,60.9,ELA,488,495.0623
4160000,60.9,MATH,481,495.0623
4160000,60.9,SCI,485,495.0623
4810000,60.8,ELA,487,495.0623
4810000,60.8,MATH,474,495.0623
4810000,60.8,SCI,480,495.0623
360000,31.3,ELA,492,495.0623
360000,31.3,MATH,487,495.0623
360000,31.3,SCI,493,495.0623
410000,32.6,MATH,491,495.0623
4170000,66.6,ELA,487,495.0623
4170000,66.6,MATH,478,495.0623
4170000,66.6,SCI,479,495.0623
6250000,21.8,MATH,494,495.0623
440000,66.5,ELA,481,495.0623
440000,66.5,MATH,474,495.0623
440000,66.5,SCI,479,495.0623
4280000,56.3,SCI,494,495.0623
490000,32.8,MATH,494,495.0623
4320000,18.4,MATH,493,495.0623
520000,26.9,ELA,494,495.0623
520000,26.9,MATH,486,495.0623
520000,26.9,SCI,492,495.0623
6350000,36.6,MATH,488,495.0623
6350000,36.6,SCI,493,495.0623
570000,72.4,ELA,483,495.0623
570000,72.4,MATH,475,495.0623
570000,72.4,SCI,477,495.0623
6320000,31.1,MATH,490,495.0623
610000,60,ELA,489,495.0623
610000,60,MATH,482,495.0623
610000,60,SCI,488,495.0623
4180000,39.3,ELA,495,495.0623
4180000,39.3,MATH,489,495.0623
630000,32.3,MATH,487,495.0623
630000,32.3,SCI,490,495.0623
640000,46.5,ELA,490,495.0623
640000,46.5,MATH,481,495.0623
640000,46.5,SCI,489,495.0623
4380000,70.6,ELA,480,495.0623
4380000,70.6,MATH,469,495.0623
4380000,70.6,SCI,478,495.0623
35030000,54.6,ELA,495,495.0623
35030000,54.6,MATH,487,495.0623
35030000,54.6,SCI,491,495.0623
4360000,45.8,MATH,490,495.0623
4360000,45.8,SCI,489,495.0623
4400000,65.3,MATH,493,495.0623
4400000,65.3,SCI,493,495.0623
4260000,67.9,MATH,492,495.0623
4260000,67.9,SCI,493,495.0623
4310000,60.2,MATH,492,495.0623
4310000,60.2,SCI,492,495.0623
4390000,61.1,ELA,491,495.0623
4390000,61.1,MATH,477,495.0623
4390000,61.1,SCI,489,495.0623
710000,21,MATH,493,495.0623
720000,25.9,MATH,495,495.0623
730000,25.7,MATH,494,495.0623
730000,25.7,SCI,495,495.0623
740000,22.9,ELA,495,495.0623
740000,22.9,MATH,489,495.0623
6450000,49,ELA,494,495.0623
6450000,49,MATH,488,495.0623
