district_name,teacher_proficiency,avg_mcas_score
Hampshire,97.6,494.0000
Gateway,96,493.0000
"South Hadley",94.5,491.0000
Methuen,94.4,488.3333
Taunton,94.1,485.0000
"Hoosac Valley Regional",93.9,482.3333
Dracut,92.5,491.6667
Erving,92.3,484.6667
Ludlow,92.1,489.3333
Amesbury,91.7,494.0000
Stoughton,91.6,492.0000
Leicester,91.4,491.6667
Athol-Royalston,91.2,487.0000
"North Brookfield",91.1,486.0000
Belchertown,91,494.6667
"Learning First Charter Public School (District)",90.9,480.6667
"Ralph C Mahar",90.7,487.0000
"Abby Kelley Foster Charter Public (District)",90.4,487.0000
Fitchburg,90.3,481.0000
Chelsea,90.2,478.3333
Narragansett,90.2,490.3333
Chesterfield-Goshen,90,495.0000
Everett,89.5,479.0000
"UP Academy Charter School of Boston (District)",89.4,475.0000
Pittsfield,89.2,485.0000
Easthampton,88.8,492.3333
"Ayer Shirley School District",88.7,494.3333
Maynard,88.5,494.6667
Rockland,88.5,492.0000
Agawam,88.4,494.3333
Beverly,88.1,495.0000
Saugus,88.1,491.6667
Peabody,87.9,490.0000
Greenfield,87.6,483.6667
Sunderland,87.5,495.0000
"Spencer-E Brookfield",87.1,486.3333
"Dudley Street Neighborhood Charter School (District)",87,480.3333
Milford,86.2,488.6667
Haverhill,86.2,484.3333
Holbrook,86.2,492.6667
Salem,86.2,485.3333
Uxbridge,86.2,494.6667
"West Bridgewater",86.1,493.3333
Webster,85.7,482.6667
Malden,85.6,488.0000
Worcester,85.6,481.6667
Edgartown,85.3,491.0000
"New Bedford",85.2,482.6667
"UP Academy Charter School of Dorchester (District)",85,472.0000
Winchendon,84.5,487.3333
Lynn,84.5,480.3333
Leominster,84.4,488.0000
Palmer,84.3,485.3333
Clinton,84.2,486.6667
Ware,84,487.0000
Attleboro,83.8,493.3333
Watertown,83.8,494.6667
Oxford,83.7,489.0000
Norwood,83.2,493.0000
Lowell,83.2,481.3333
Woburn,83.2,494.0000
Chicopee,83.1,486.3333
Weymouth,83.1,491.6667
"Southwick-Tolland-Granville Regional School District",82.9,494.3333
"Mohawk Trail",82.9,491.3333
"Pioneer Valley",82.9,491.6667
Lee,82.6,492.0000
"State Totals",82.3,494.0000
Douglas,82.2,494.6667
Hudson,82,490.0000
Brockton,82,478.0000
"North Adams",81.8,482.3333
Worthington,81.8,490.0000
"West Springfield",81.3,491.0000
Bellingham,81.2,493.6667
Carver,80.9,490.6667
Billerica,80.6,494.6667
Revere,80.6,485.3333
Waltham,80.4,489.6667
Quabbin,80.4,494.3333
Medford,80.2,491.0000
Deerfield,80,494.6667
Avon,80,491.0000
Plymouth,79.9,494.6667
Boston,79.9,482.0000
Barnstable,79.6,489.0000
"Berkshire Hills",79.6,491.3333
Winthrop,79.6,492.3333
"Academy Of the Pacific Rim Charter Public (District)",79.5,479.3333
Westfield,79.5,490.6667
Holland,78.6,494.6667
Springfield,78.5,479.3333
"Southern Berkshire",78.4,490.0000
Randolph,78,488.3333
"Boston Green Academy Horace Mann Charter School (District)",78,476.3333
Gloucester,77.9,492.3333
"Community Day Charter Public School - Prospect (District)",77.8,494.6667
Southbridge,77.1,474.0000
Blackstone-Millville,77.1,492.6667
Marlborough,76.9,485.6667
"Greenfield Commonwealth Virtual District",76.9,488.3333
Northampton,75.4,493.6667
Bourne,75.4,490.6667
Granby,75,488.6667
Nantucket,74.7,489.6667
Monson,74.1,491.3333
"Silver Lake",73.5,494.6667
Dighton-Rehoboth,73.4,494.3333
Millbury,73.1,494.0000
"Fall River",72.9,481.3333
Holyoke,72.4,470.6667
Northbridge,72.2,491.6667
Somerville,71.8,488.6667
"Community Day Charter Public School - Gateway (District)",70.7,494.3333
Middleborough,70.6,495.0000
Lawrence,69.5,475.6667
"Community Day Charter Public School - R. Kingman Webster (District)",69.2,494.6667
"Central Berkshire",67.3,492.6667
Hatfield,67.3,493.3333
Dennis-Yarmouth,66.2,491.3333
